series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;MNE;FREQ;DOMAINE;ACTIVITE;VARIABLE;ZONE_GEO;CATEGORIE;POPULATION;CONTREPARTIE;CONSOLIDATION;UNIT;DECIMALS;UNIT_MULT;ADJUSTMENT;TIME_FORMAT;SOURCE_AGENCY;TIME_PER_COLLECT;OBS_CONF;OBS_STATUS
ACPR.A.BQ.RISQUES.DT_PL_PTF_NEGO.58._Z.EF.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;341,0;2025-03-18T17:10:27+00:00;ACPR;Dépôts et titres des autres entreprises financières donnés en pension livrée du portefeuille de négociation;Dépôts et titres des autres entreprises financières donnés en pension livrée du portefeuille de négociation;DT_PL_PTF_NEGO;A;BQ;_Z;58;_Z;RISQUES;TOP6_AUT_GROUPES;EF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.OBLIG_PTF_NEGO.238._Z.ENF.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;28,14;2025-03-18T17:10:28+00:00;ACPR;Titre de créances émis par les entreprises non financières dans le portefeuille de négociation;Titre de créances émis par les entreprises non financières dans le portefeuille de négociation;OBLIG_PTF_NEGO;A;BQ;_Z;238;_Z;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TB_FIN_NEGO_DERIVES9931.479._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;1,65;2025-03-18T17:10:28+00:00;ACPR;Montant à l'actif de dérivés sur autres produits;Montant à l'actif de dérivés sur autres produits;TB_FIN_NEGO_DERIVES9931;A;BQ;_Z;479;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TB_FIN_NEGO_DERIVES9935.483._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;12,24;2025-03-18T17:10:28+00:00;ACPR;Montant au passif de dérivés sur crédit;Montant au passif de dérivés sur crédit;TB_FIN_NEGO_DERIVES9935;A;BQ;_Z;483;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_PROV.572._Z.NACE_H.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;50,12;2025-03-18T17:10:29+00:00;ACPR;Taux de provisionnement du secteur du transports et entreposage;Taux de provisionnement du secteur du transports et entreposage;TX_PROV;A;BQ;_Z;572;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_H;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.S3_MCA_BASE100.662._Z.MENAGES.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;96,3;2025-10-22T14:00:31+00:00;ACPR;Encours de prêts et avances (brut comptable) aux ménages en stade 3 - coût amorti - base 100;Encours de prêts et avances (brut comptable) aux ménages en stade 3 - coût amorti - base 100;S3_MCA_BASE100;A;BQ;_Z;662;_Z;RISQUES;TOP6_AUT_GROUPES;MENAGES;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34._Z.EC.PHNC._Z.TOP6_AUT_GROUPES;2020;2020-01-01;2020-12-31;268,77;2025-03-18T17:10:26+00:00;ACPR;Établissements de crédit (crédits nets);Établissements de crédit (crédits nets);CRED_CLIENT;A;BQ;_Z;34;_Z;RISQUES;TOP6_AUT_GROUPES;EC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_PROV.572.PL.MENAGES_ENF.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;69,96;2025-03-18T17:10:29+00:00;ACPR;Taux de provisionnement en Pologne;Taux de provisionnement en Pologne;TX_PROV;A;BQ;_Z;572;PL;RISQUES;TOP6_AUT_GROUPES;MENAGES_ENF;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.ACT_PTF_NEGO.3._Z.ENF.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;115,96;2025-03-18T17:10:26+00:00;ACPR;Instruments de capitaux propres des entreprises non financières dans le portefeuille de négociation;Instruments de capitaux propres des entreprises non financières dans le portefeuille de négociation;ACT_PTF_NEGO;A;BQ;_Z;3;_Z;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.BE.ENF.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;52,3;2025-03-18T17:10:27+00:00;ACPR;Crédits aux entreprises non financières - Belgique;Crédits aux entreprises non financières - Belgique;CRED_CLIENT;A;BQ;_Z;34;BE;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TX_NPL.569._Z.NACE_B.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;3,89;2025-03-18T17:10:28+00:00;ACPR;Taux de prêts non performants du secteur des industries extractives;Taux de prêts non performants du secteur des industries extractives;TX_NPL;A;BQ;_Z;569;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_B;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_CLIENT.34.FR.MENAGES.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;1327,28;2025-03-18T17:10:27+00:00;ACPR;Crédits aux ménages - France;Crédits aux ménages - France;CRED_CLIENT;A;BQ;_Z;34;FR;RISQUES;TOP6_AUT_GROUPES;MENAGES;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CREDITS_BRUTS.39._Z.NACE_C.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;211,67;2025-03-18T17:10:27+00:00;ACPR;Crédits bruts aux entreprises du secteur des industrie manufacturière;Crédits bruts aux entreprises du secteur des industrie manufacturière;CREDITS_BRUTS;A;BQ;_Z;39;_Z;RISQUES;TOP6_AUT_GROUPES;NACE_C;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.CRED_COD.30._Z._Z.SOLO._Z.TOTAL_SECTEUR;2019;2019-01-01;2019-12-31;48,15;2025-10-22T14:00:28+00:00;ACPR;Comptes ordinaires débiteurs à l'ensemble de la clientèle non financière;Comptes ordinaires débiteurs à l'ensemble de la clientèle non financière;CRED_COD;A;BQ;_Z;30;_Z;RISQUES;TOTAL_SECTEUR;_Z;SOLO;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.DERIV_PASSIF_GRE_GRE.49._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;562,94;2025-03-18T17:10:27+00:00;ACPR;Montant au passif de dérivés de gré à gré;Passif de dérivés de gré à gré;DERIV_PASSIF_GRE_GRE;A;BQ;_Z;49;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.OBLIG_PTF_NEGO.238._Z.BC.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;1,42;2025-03-18T17:10:28+00:00;ACPR;Titre de créances émis par les banques centrales dans le portefeuille de négociation;Titre de créances émis par les banques centrales dans le portefeuille de négociation;OBLIG_PTF_NEGO;A;BQ;_Z;238;_Z;RISQUES;TOP6_AUT_GROUPES;BC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.ACT_PTF_NEGO.3._Z.AUTRES.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;0,1;2025-03-18T17:10:26+00:00;ACPR;Instruments de capitaux propres des autres entités dans le portefeuille de négociation;Instruments de capitaux propres des autres entités dans le portefeuille de négociation;ACT_PTF_NEGO;A;BQ;_Z;3;_Z;RISQUES;TOP6_AUT_GROUPES;AUTRES;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.TB_FIN_NEGO_DERIVES_CIES9943.51._Z._Z.PHNC._Z._Z;2019;2019-01-01;2019-12-31;62207,72;2025-09-17T10:00:30+00:00;ACPR;Total des dérivés (montants notionnels);Total des dérivés (montants notionnels);TB_FIN_NEGO_DERIVES_CIES9943;A;BQ;_Z;51;_Z;RISQUES;_Z;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.S3_ENFCA_BASE100.662._Z.ENF.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;100,0;2025-03-31T08:10:38+00:00;ACPR;Encours de prêts et avances (brut comptable) aux entreprises non financières en stade 3 - coût amorti - base 100;Encours de prêts et avances (brut comptable) aux entreprises non financières en stade 3 - coût amorti - base 100;S3_ENFCA_BASE100;A;BQ;_Z;662;_Z;RISQUES;TOP6_AUT_GROUPES;ENF;PHNC;PC;2;0;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.GB_FIN_TX_DOUT_MEN_ENF8963.39._Z.GE.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;933,37;2025-03-31T08:10:37+00:00;ACPR;Prêts et avances bruts au coût amorti du secteur bancaire français (IFRS) - grandes entreprises;Prêts et avances bruts au coût amorti du secteur bancaire français (IFRS) - grandes entreprises;GB_FIN_TX_DOUT_MEN_ENF8963;A;BQ;_Z;39;_Z;RISQUES;TOP6_AUT_GROUPES;GE;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.GB_FIN_NEGO_ACTIF_9847.183._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;543,24;2025-03-18T17:10:28+00:00;ACPR;Prêts et avances yc les operations de pensions sur titres coté actif;Prêts et avances yc les operations de pensions sur titres coté actif;GB_FIN_NEGO_ACTIF_9847;A;BQ;_Z;183;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.GB_FIN_NEGO_PASSIF_9849.187._Z._Z.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;148,2;2025-03-18T17:10:28+00:00;ACPR;Positions courtes dans le portefeuille de négociation coté passif;Positions courtes dans le portefeuille de négociation coté passif;GB_FIN_NEGO_PASSIF_9849;A;BQ;_Z;187;_Z;RISQUES;TOP6_AUT_GROUPES;_Z;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.LOANS_PTF_NEGO.222._Z.BC.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;20,24;2025-03-18T17:10:28+00:00;ACPR;Prêts aux Banques centrales dans le portefeuille de négociation;Prêts aux Banques centrales dans le portefeuille de négociation;LOANS_PTF_NEGO;A;BQ;_Z;222;_Z;RISQUES;TOP6_AUT_GROUPES;BC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
ACPR.A.BQ.RISQUES.LOANS_PTF_NEGO.222._Z.EC.PHNC._Z.TOP6_AUT_GROUPES;2019;2019-01-01;2019-12-31;185,29;2025-03-18T17:10:28+00:00;ACPR;Prêts aux Établissements de crédit dans le portefeuille de négociation;Prêts aux Établissements de crédit dans le portefeuille de négociation;LOANS_PTF_NEGO;A;BQ;_Z;222;_Z;RISQUES;TOP6_AUT_GROUPES;EC;PHNC;EUR;2;9;N;P1Y;ACPR;E;F;A
